"eBird.English.Name.2023","eBird.Scientific.Name.2023","eBird.India.Name.2023"
"Red-rumped Swallow","Cecropis daurica","Red-rumped Swallow"
"Striated Swallow","Cecropis striolata","Striated Swallow"
"Streak-throated Swallow","Petrochelidon fluvicola","Streak-throated Swallow"
"Western House-Martin","Delichon urbicum","Northern House-Martin (Western House-Martin)"
"Siberian House-Martin","Delichon lagopodum","Siberian House-Martin"
"Asian House-Martin","Delichon dasypus","Asian House-Martin"
"Nepal House-Martin","Delichon nipalense","Nepal House-Martin"
"Gray-headed Bulbul","Microtarsus priocephalus","Grey-headed Bulbul"
"Black-headed Bulbul","Microtarsus melanocephalos","Black-headed Bulbul"
"Andaman Bulbul","Microtarsus�fuscoflavescens",NA
"Black-crested Bulbul","Rubigula flaviventris","Black-crested Bulbul"
"Flame-throated Bulbul","Rubigula gularis","Flame-throated Bulbul (Ruby-throated Bulbul)"
"Crested Finchbill","Spizixos canifrons","Crested Finchbill"
"Striated Bulbul","Alcurus striatus","Striated Bulbul"
"Red-vented Bulbul","Pycnonotus cafer","Red-vented Bulbul"
"Red-whiskered Bulbul","Pycnonotus jocosus","Red-whiskered Bulbul"
"White-eared Bulbul","Pycnonotus leucotis","White-eared Bulbul"
"Himalayan Bulbul","Pycnonotus leucogenys","Himalayan Bulbul"
"Yellow-throated Bulbul","Pycnonotus xantholaemus","Yellow-throated Bulbul"
"Flavescent Bulbul","Pycnonotus flavescens","Flavescent Bulbul"
"White-browed Bulbul","Pycnonotus luteolus","White-browed Bulbul"
"White-throated Bulbul","Alophoixus flaveolus","White-throated Bulbul"
"Gray-eyed Bulbul","Iole propinqua","Grey-eyed Bulbul"
"Cachar Bulbul","Iole cacharensis","Cachar Bulbul (Indian Olive Bulbul)"
"Yellow-browed Bulbul","Acritillas indica","Yellow-browed Bulbul"
"Black Bulbul","Hypsipetes leucocephalus","Himalayan Black Bulbul"
"Square-tailed Bulbul","Hypsipetes ganeesa","Square-tailed Bulbul (Black Bulbul)"
"Nicobar Bulbul","Ixos nicobariensis","Nicobar Bulbul"
"Ashy Bulbul","Hemixos flavala","Ashy Bulbul"
"Mountain Bulbul","Ixos mcclellandii","Mountain Bulbul"
"Wood Warbler","Phylloscopus sibilatrix","Wood Warbler"
"Ashy-throated Warbler","Phylloscopus maculipennis","Ashy-throated Warbler"
"Buff-barred Warbler","Phylloscopus pulcher","Buff-barred Warbler"
"Yellow-browed Warbler","Phylloscopus inornatus","Yellow-browed Warbler"
"Hume's Warbler","Phylloscopus humei","Hume's Warbler"
"Brooks's Leaf Warbler","Phylloscopus subviridis","Brooks's Leaf Warbler"
"Chinese Leaf Warbler","Phylloscopus yunnanensis","Chinese Leaf Warbler"
"Pallas's Leaf Warbler","Phylloscopus proregulus","Pallas's Leaf Warbler"
"Lemon-rumped Warbler","Phylloscopus chloronotus","Lemon-rumped Warbler"
"Sichuan Leaf Warbler","Phylloscopus forresti","Sichuan Leaf Warbler"
"Tytler's Leaf Warbler","Phylloscopus tytleri","Tytler's Leaf Warbler"
"Sulphur-bellied Warbler","Phylloscopus griseolus","Sulphur-bellied Warbler"
"Tickell's Leaf Warbler","Phylloscopus affinis","Tickell's Leaf Warbler"
"Dusky Warbler","Phylloscopus fuscatus","Dusky Warbler"
"Smoky Warbler","Phylloscopus fuligiventer","Smoky Warbler"
"Plain Leaf Warbler","Phylloscopus neglectus","Plain Leaf Warbler"
"Buff-throated Warbler","Phylloscopus subaffinis","Buff-throated Warbler"
"Willow Warbler","Phylloscopus trochilus","Willow Warbler"
"Mountain Chiffchaff","Phylloscopus sindianus","Mountain Chiffchaff"
"Common Chiffchaff","Phylloscopus collybita","Common Chiffchaff"
"White-spectacled Warbler","Phylloscopus intermedius","White-spectacled Warbler"
"Gray-cheeked Warbler","Phylloscopus poliogenys","Grey-cheeked Warbler"
"Green-crowned Warbler","Phylloscopus burkii","Green-crowned Warbler (Golden-spectacled Warbler)"
"Gray-crowned Warbler","Phylloscopus tephrocephalus","Grey-crowned Warbler"
"Whistler's Warbler","Phylloscopus whistleri","Whistler's Warbler"
"Green Warbler","Phylloscopus nitidus","Green Warbler"
"Greenish Warbler","Phylloscopus trochiloides","Greenish Warbler"
"Two-barred Warbler","Phylloscopus plumbeitarsus","Two-barred Warbler"
"Large-billed Leaf Warbler","Phylloscopus magnirostris","Large-billed Leaf Warbler"
"Pale-legged Leaf Warbler","Phylloscopus tenellipes","Pale-legged Leaf Warbler"
"Sakhalin Leaf Warbler","Phylloscopus borealoides","Sakhalin Leaf Warbler"
"Arctic Warbler","Phylloscopus borealis","Arctic Warbler"
"Chestnut-crowned Warbler","Phylloscopus castaniceps","Chestnut-crowned Warbler"
"Yellow-vented Warbler","Phylloscopus cantator","Yellow-vented Warbler"
"Western Crowned Warbler","Phylloscopus occipitalis","Western Crowned Warbler"
"Blyth's Leaf Warbler","Phylloscopus reguloides","Blyth's Leaf Warbler"
"Claudia's Leaf Warbler","Phylloscopus claudiae","Claudia's Leaf Warbler"
"Gray-hooded Warbler","Phylloscopus xanthoschistos","Grey-hooded Warbler"
"Pale-footed Bush Warbler","Hemitesia pallidipes","Pale-footed Bush Warbler"
"Asian Stubtail","Urosphena squameiceps","Asian Stubtail"
"Gray-bellied Tesia","Tesia cyaniventer","Grey-bellied Tesia"
"Slaty-bellied Tesia","Tesia olivea","Slaty-bellied Tesia"
"Chestnut-crowned Bush Warbler","Cettia major","Chestnut-crowned Bush Warbler"
"Gray-sided Bush Warbler","Cettia brunnifrons","Grey-sided Bush Warbler"
"Chestnut-headed Tesia","Cettia castaneocoronata","Chestnut-headed Tesia"
"Cetti's Warbler","Cettia cetti","Cetti's Warbler"
"Yellow-bellied Warbler","Abroscopus superciliaris","Yellow-bellied Warbler"
"Rufous-faced Warbler","Abroscopus albogularis","Rufous-faced Warbler"
"Black-faced Warbler","Abroscopus schisticeps","Black-faced Warbler"
"Mountain Tailorbird","Phyllergates cucullatus","Mountain Tailorbird"
"Broad-billed Warbler","Tickellia hodgsoni","Broad-billed Warbler"
"Manchurian Bush Warbler","Horornis canturians","Manchurian Bush Warbler"
"Brownish-flanked Bush Warbler","Horornis fortipes","Brownish-flanked Bush Warbler"
"Hume's Bush Warbler","Horornis brunnescens","Hume's Bush Warbler"
"Aberrant Bush Warbler","Horornis flavolivaceus","Aberrant Bush Warbler"
"White-browed Tit-Warbler","Leptopoecile sophiae","White-browed Tit-Warbler"
"Crested Tit-Warbler","Leptopoecile elegans","Crested Tit-Warbler"
"White-cheeked Tit","Aegithalos leucogenys",NA
"Black-throated Tit","Aegithalos concinnus","Black-throated Tit (Black-throated Bushtit)"
"White-throated Tit","Aegithalos niveogularis","White-throated Tit (White-throated Bushtit)"
"Black-browed Tit","Aegithalos iouschistos","Black-browed/Rufous-fronted Bushtit"
"Eurasian Blackcap","Sylvia atricapilla","Eurasian Blackcap"
"Garden Warbler","Sylvia borin","Garden Warbler"
"Barred Warbler","Curruca nisoria","Barred Warbler"
"Lesser Whitethroat","Curruca curruca","Lesser Whitethroat"
"Eastern Orphean Warbler","Curruca crassirostris","Eastern Orphean Warbler"
"Asian Desert Warbler","Curruca nana","Asian Desert Warbler"
"Greater Whitethroat","Curruca communis","Greater Whitethroat (Common Whitethroat)"
"Fire-tailed Myzornis","Myzornis pyrrhoura","Fire-tailed Myzornis"
"Golden-breasted Fulvetta","Lioparus chrysotis","Golden-breasted Fulvetta"
"Yellow-eyed Babbler","Chrysomma sinense","Yellow-eyed Babbler"
"Jerdon's Babbler","Chrysomma altirostre","Jerdon's Babbler"
"Brown-throated Fulvetta","Fulvetta ludlowi","Brown-throated Fulvetta (Ludlow's Fulvetta)"
"White-browed Fulvetta","Fulvetta vinipectus","White-browed Fulvetta"
"Manipur Fulvetta","Fulvetta manipurensis","Manipur Fulvetta"
"Black-breasted Parrotbill","Paradoxornis flavirostris","Black-breasted Parrotbill"
"Spot-breasted Parrotbill","Paradoxornis guttaticollis","Spot-breasted Parrotbill"
"Great Parrotbill","Conostoma aemodium","Great Parrotbill"
"Brown Parrotbill","Cholornis unicolor","Brown Parrotbill"
"Gray-headed Parrotbill","Psittiparus gularis","Grey-headed Parrotbill"
"White-breasted Parrotbill","Psittiparus ruficeps","White-breasted Parrotbill (Greater Rufous-headed Parrotbill)"
"Rufous-headed Parrotbill","Psittiparus bakeri","Rufous-headed Parrotbill"
"Fulvous Parrotbill","Suthora fulvifrons","Fulvous Parrotbill"
"Black-throated Parrotbill","Suthora nipalensis","Black-throated Parrotbill"
"Pale-billed Parrotbill","Suthora atrosuperciliaris","Pale-billed Parrotbill (Lesser Rufous-headed Parrotbill)"
"Striated Yuhina","Staphida castaniceps","Striated Yuhina"
"Black-chinned Yuhina","Yuhina nigrimenta","Black-chinned Yuhina"
"Whiskered Yuhina","Yuhina flavicollis","Whiskered Yuhina"
"White-naped Yuhina","Yuhina bakeri","White-naped Yuhina"
"Stripe-throated Yuhina","Yuhina gularis","Stripe-throated Yuhina"
"Rufous-vented Yuhina","Yuhina occipitalis","Rufous-vented Yuhina"
"Chestnut-flanked White-eye","Zosterops erythropleurus","Chestnut-flanked White-eye"
"Indian White-eye","Zosterops palpebrosus","Indian White-eye (Oriental White-eye)"
"Chestnut-capped Babbler","Timalia pileata","Chestnut-capped Babbler"
"Tawny-bellied Babbler","Dumetia hyperythra","Tawny-bellied Babbler"
"Dark-fronted Babbler","Dumetia atriceps","Dark-fronted Babbler"
"Pin-striped Tit-Babbler","Mixornis gularis","Pin-striped Tit-Babbler"
"Golden Babbler","Cyanoderma chrysaeum","Golden Babbler"
"Black-chinned Babbler","Cyanoderma pyrrhops","Black-chinned Babbler"
"Rufous-capped Babbler","Cyanoderma ruficeps","Rufous-capped Babbler"
"Buff-chested Babbler","Cyanoderma ambiguum","Buff-chested Babbler (Indian Rufous-fronted Babbler)"
"Rufous-throated Wren-Babbler","Spelaeornis caudatus","Rufous-throated Wren-Babbler"
"Mishmi Wren-Babbler","Spelaeornis badeigularis","Mishmi Wren-Babbler (Rusty-throated Wren-Babbler)"
"Bar-winged Wren-Babbler","Spelaeornis troglodytoides","Bar-winged Wren-Babbler"
"Naga Wren-Babbler","Spelaeornis chocolatinus","Naga Wren-Babbler (Long-tailed Wren-Babbler)"
"Chin Hills Wren-Babbler","Spelaeornis oatesi","Chin Hills Wren-Babbler"
"Tawny-breasted Wren-Babbler","Spelaeornis longicaudatus","Tawny-breasted Wren-Babbler"
"Black-crowned Scimitar-Babbler","Pomatorhinus ferruginosus","Black-crowned Scimitar-Babbler"
"Brown-crowned Scimitar-Babbler","Pomatorhinus phayrei","Brown-crowned Scimitar-Babbler"
"Red-billed Scimitar-Babbler","Pomatorhinus ochraceiceps","Red-billed Scimitar-Babbler"
"Slender-billed Scimitar-Babbler","Pomatorhinus superciliaris","Slender-billed Scimitar-Babbler"
"Streak-breasted Scimitar-Babbler","Pomatorhinus ruficollis","Streak-breasted Scimitar-Babbler"
"White-browed Scimitar-Babbler","Pomatorhinus schisticeps","White-browed Scimitar-Babbler"
"Indian Scimitar-Babbler","Pomatorhinus horsfieldii","Indian Scimitar-Babbler"
"Large Scimitar-Babbler","Erythrogenys hypoleucos","Large Scimitar-Babbler"
"Rusty-cheeked Scimitar-Babbler","Erythrogenys erythrogenys","Rusty-cheeked Scimitar-Babbler"
"Spot-breasted Scimitar-Babbler","Erythrogenys mcclellandi","Spot-breasted Scimitar-Babbler"
"Gray-throated Babbler","Stachyris nigriceps","Grey-throated Babbler"
"Sikkim Wedge-billed Babbler","Stachyris humei","Sikkim Wedge-billed Babbler (Blackish-breasted Babbler)"
"Cachar Wedge-billed Babbler","Stachyris roberti","Cachar Wedge-billed Babbler (Chevron-breasted Babbler)"
"Snowy-throated Babbler","Stachyris oglei","Snowy-throated Babbler"
"Indian Grassbird","Graminicola bengalensis","Indian Grassbird (Rufous-rumped Grassbird)"
"White-hooded Babbler","Gampsorhynchus rufulus","White-hooded Babbler"
"Yellow-throated Fulvetta","Schoeniparus cinereus","Yellow-throated Fulvetta"
"Rufous-winged Fulvetta","Schoeniparus castaneceps","Rufous-winged Fulvetta"
"Rufous-throated Fulvetta","Schoeniparus rufogularis","Rufous-throated Fulvetta"
"Rusty-capped Fulvetta","Schoeniparus dubius","Rusty-capped Fulvetta"
"Puff-throated Babbler","Pellorneum ruficeps","Puff-throated Babbler"
"Marsh Babbler","Pellorneum palustre","Marsh Babbler"
"Spot-throated Babbler","Pellorneum albiventre","Spot-throated Babbler"
"Buff-breasted Babbler","Pellorneum tickelli","Buff-breasted Babbler"
"Rufous-vented Grass Babbler","Laticilla burnesii","Rufous-vented Grass Babbler (Rufous-vented Prinia)"
"Swamp Grass Babbler","Laticilla cinerascens","Swamp Grass Babbler (Swamp Prinia)"
"Abbott's Babbler","Malacocincla abbotti","Abbott's Babbler"
"Streaked Wren-Babbler","Gypsophila brevicaudata","Streaked Wren-Babbler"
"Eyebrowed Wren-Babbler","Napothera epilepidota","Eyebrowed Wren-Babbler"
"Long-billed Wren-Babbler","Napothera malacoptila","Long-billed Wren-Babbler"
"Brown-cheeked Fulvetta","Alcippe poioicephala","Brown-cheeked Fulvetta"
"Nepal Fulvetta","Alcippe nipalensis","Nepal Fulvetta"
"Striated Laughingthrush","Grammatoptila striata","Striated Laughingthrush"
"Himalayan Cutia","Cutia nipalensis","Himalayan Cutia"
"Scaly Laughingthrush","Trochalopteron subunicolor","Scaly Laughingthrush"
"Brown-capped Laughingthrush","Trochalopteron austeni","Brown-capped Laughingthrush"
"Blue-winged Laughingthrush","Trochalopteron squamatum","Blue-winged Laughingthrush"
"Streaked Laughingthrush","Trochalopteron lineatum","Streaked Laughingthrush"
"Bhutan Laughingthrush","Trochalopteron imbricatum","Bhutan Laughingthrush"
"Striped Laughingthrush","Trochalopteron virgatum","Striped Laughingthrush"
"Variegated Laughingthrush","Trochalopteron variegatum","Variegated Laughingthrush"
"Black-faced Laughingthrush","Trochalopteron affine","Black-faced Laughingthrush"
"Elliot's Laughingthrush","Trochalopteron elliotii","Elliot's Laughingthrush"
"Chestnut-crowned Laughingthrush","Trochalopteron erythrocephalum","Chestnut-crowned Laughingthrush"
"Assam Laughingthrush","Trochalopteron chrysopterum","Assam Laughingthrush"
"Banasura Laughingthrush","Montecincla jerdoni","Banasura Laughingthrush (Banasura Chilappan)"
"Nilgiri Laughingthrush","Montecincla cachinnans","Nilgiri Laughingthrush (Nilgiri Chilappan)"
"Palani Laughingthrush","Montecincla fairbanki","Palani Laughingthrush (Palani Chilappan)"
"Ashambu Laughingthrush","Montecincla meridionalis","Ashambu Laughingthrush (Ashambu Chilappan)"
"Long-tailed Sibia","Heterophasia picaoides","Long-tailed Sibia"
"Rufous Sibia","Heterophasia capistrata","Rufous Sibia"
"Beautiful Sibia","Heterophasia pulchella","Beautiful Sibia"
"Gray Sibia","Heterophasia gracilis","Grey Sibia"
"Hoary-throated Barwing","Actinodura nipalensis","Hoary-throated Barwing"
"Streak-throated Barwing","Actinodura waldeni","Streak-throated Barwing"
"Blue-winged Minla","Actinodura cyanouroptera","Blue-winged Minla"
"Chestnut-tailed Minla","Actinodura strigula","Chestnut-tailed Minla (Bar-throated Siva)"
"Rusty-fronted Barwing","Actinodura egertoni","Rusty-fronted Barwing"
"Red-billed Leiothrix","Leiothrix lutea","Red-billed Leiothrix"
"Silver-eared Mesia","Leiothrix argentauris","Silver-eared Mesia"
"Red-tailed Minla","Minla ignotincta","Red-tailed Minla"
"Rufous-backed Sibia","Leioptila annectens","Rufous-backed Sibia"
"Bugun Liocichla","Liocichla bugunorum","Bugun Liocichla"
"Red-faced Liocichla","Liocichla phoenicea","Red-faced Liocichla"
"Large Gray Babbler","Argya malcolmi","Large Grey Babbler"
"Slender-billed Babbler","Argya longirostris","Slender-billed Babbler"
"Rufous Babbler","Argya subrufa","Rufous Babbler"
"Jungle Babbler","Argya striata","Jungle Babbler"
"Yellow-billed Babbler","Argya affinis","Yellow-billed Babbler"
"Common Babbler","Argya caudata","Common Babbler"
"Striated Babbler","Argya earlei","Striated Babbler"
"Spot-breasted Laughingthrush","Garrulax merulinus","Spot-breasted Laughingthrush"
"Lesser Necklaced Laughingthrush","Garrulax monileger","Lesser Necklaced Laughingthrush"
"White-crested Laughingthrush","Garrulax leucolophus","White-crested Laughingthrush"
"Rufous-chinned Laughingthrush","Ianthocincla rufogularis","Rufous-chinned Laughingthrush"
"Moustached Laughingthrush","Ianthocincla cineracea","Moustached Laughingthrush"
"Spotted Laughingthrush","Ianthocincla ocellata","Spotted Laughingthrush"
"Wayanad Laughingthrush","Pterorhinus delesserti","Wayanad Laughingthrush"
"Rufous-vented Laughingthrush","Pterorhinus gularis","Rufous-vented Laughingthrush"
"Yellow-throated Laughingthrush","Pterorhinus galbanus","Yellow-throated Laughingthrush"
"Rufous-necked Laughingthrush","Pterorhinus ruficollis","Rufous-necked Laughingthrush"
"Chestnut-backed Laughingthrush","Pterorhinus nuchalis","Chestnut-backed Laughingthrush"
"White-browed Laughingthrush","Pterorhinus sannio","White-browed Laughingthrush"
"Greater Necklaced Laughingthrush","Pterorhinus pectoralis","Greater Necklaced Laughingthrush"
"Mount Victoria Babax","Pterorhinus woodi","Mount Victoria Babax"
"White-throated Laughingthrush","Pterorhinus albogularis","White-throated Laughingthrush"
"Gray-sided Laughingthrush","Pterorhinus caerulatus","Grey-sided Laughingthrush"
"Goldcrest","Regulus regulus","Goldcrest"
"Wallcreeper","Tichodroma muraria","Wallcreeper"
"Indian Nuthatch","Sitta castanea","Indian Nuthatch"
"Chestnut-bellied Nuthatch","Sitta cinnamoventris","Chestnut-bellied Nuthatch"
"Chestnut-vented Nuthatch","Sitta nagaensis","Chestnut-vented Nuthatch"
"Kashmir Nuthatch","Sitta cashmirensis","Kashmir Nuthatch"
"White-tailed Nuthatch","Sitta himalayensis","White-tailed Nuthatch"
"White-cheeked Nuthatch","Sitta leucopsis","White-cheeked Nuthatch"
"Yunnan Nuthatch","Sitta yunnanensis","Yunnan Nuthatch"
"Velvet-fronted Nuthatch","Sitta frontalis","Velvet-fronted Nuthatch"
"Beautiful Nuthatch","Sitta formosa","Beautiful Nuthatch"
"Hodgson's Treecreeper","Certhia hodgsoni","Hodgson's Treecreeper (Eurasian Treecreeper)"
"Bar-tailed Treecreeper","Certhia himalayana","Bar-tailed Treecreeper"
"Rusty-flanked Treecreeper","Certhia nipalensis","Rusty-flanked Treecreeper"
"Sikkim Treecreeper","Certhia discolor","Sikkim Treecreeper (Brown-throated Treecreeper)"
"Hume's Treecreeper","Certhia manipurensis","Hume's Treecreeper"
"Indian Spotted Creeper","Salpornis spilonota","Indian Spotted Creeper"
"Eurasian Wren","Troglodytes troglodytes","Eurasian Wren (Winter Wren)"
"Spotted Elachura","Elachura formosa","Spotted Elachura (Spotted Wren-Babbler)"
"White-throated Dipper","Cinclus cinclus","White-throated Dipper"
"Brown Dipper","Cinclus pallasii","Brown Dipper"
"Asian Glossy Starling","Aplonis panayensis","Asian Glossy Starling"
"Golden-crested Myna","Ampeliceps coronatus","Golden-crested Myna"
"Common Hill Myna","Gracula religiosa","Common Hill Myna"
"Southern Hill Myna","Gracula indica","Southern Hill Myna"
"European Starling","Sturnus vulgaris","European Starling (Common Starling)"
"Rosy Starling","Pastor roseus","Rosy Starling"
"Daurian Starling","Agropsar sturninus","Daurian Starling"
"Chestnut-cheeked Starling","Agropsar philippensis","Chestnut-cheeked Starling"
"Indian Pied Starling","Gracupica contra","Indian Pied Starling (Pied Myna)"
"White-shouldered Starling","Sturnia sinensis","White-shouldered Starling"
"Brahminy Starling","Sturnia pagodarum","Brahminy Starling"
"Chestnut-tailed Starling","Sturnia malabarica","Chestnut-tailed Starling"
"Malabar Starling","Sturnia blythii","Malabar Starling (Blyth's Starling)"
"White-headed Starling","Sturnia erythropygia","White-headed Starling"
"Red-billed Starling","Spodiopsar sericeus","Red-billed Starling"
"White-cheeked Starling","Spodiopsar cineraceus","White-cheeked Starling"
"Common Myna","Acridotheres tristis","Common Myna"
"Bank Myna","Acridotheres ginginianus","Bank Myna"
"Jungle Myna","Acridotheres fuscus","Jungle Myna"
"Collared Myna","Acridotheres albocinctus",NA
"Great Myna","Acridotheres grandis","Great Myna"
"Spot-winged Starling","Saroglossa spilopterus","Spot-winged Starling"
"Grandala","Grandala coelicolor","Grandala"
"Long-tailed Thrush","Zoothera dixoni","Long-tailed Thrush"
"Alpine Thrush","Zoothera mollissima","Alpine Thrush"
"Himalayan Thrush","Zoothera salimalii","Himalayan Thrush"
"Dark-sided Thrush","Zoothera marginata","Dark-sided Thrush"
"Long-billed Thrush","Zoothera monticola","Long-billed Thrush"
"White's Thrush","Zoothera aurea","White's Thrush"
"Scaly Thrush","Zoothera dauma","Scaly Thrush"
"Nilgiri Thrush","Zoothera neilgherriensis","Nilgiri Thrush"
"Purple Cochoa","Cochoa purpurea","Purple Cochoa"
"Green Cochoa","Cochoa viridis","Green Cochoa"
"Siberian Thrush","Geokichla sibirica","Siberian Thrush"
"Pied Thrush","Geokichla wardii","Pied Thrush"
"Orange-headed Thrush","Geokichla citrina","Orange-headed Thrush"
"Chinese Thrush","Turdus mupinensis","Chinese Thrush"
"Mistle Thrush","Turdus viscivorus","Mistle Thrush"
"Song Thrush","Turdus philomelos","Song Thrush"
"Chinese Blackbird","Turdus mandarinus","Chinese Blackbird"
"Gray-winged Blackbird","Turdus boulboul","Grey-winged Blackbird"
"Indian Blackbird","Turdus simillimus","Indian Blackbird"
"Japanese Thrush","Turdus cardis","Japanese Thrush"
"Tickell's Thrush","Turdus unicolor","Tickell's Thrush"
"Black-breasted Thrush","Turdus dissimilis","Black-breasted Thrush"
"Gray-sided Thrush","Turdus feae","Grey-sided Thrush"
"Eyebrowed Thrush","Turdus obscurus","Eyebrowed Thrush"
"White-backed Thrush","Turdus kessleri","White-backed Thrush (Kessler's Thrush)"
"Tibetan Blackbird","Turdus maximus","Tibetan Blackbird"
"Fieldfare","Turdus pilaris","Fieldfare"
"White-collared Blackbird","Turdus albocinctus","White-collared Blackbird"
"Chestnut Thrush","Turdus rubrocanus","Chestnut Thrush"
"Black-throated Thrush","Turdus atrogularis","Black-throated Thrush"
"Red-throated Thrush","Turdus ruficollis","Red-throated Thrush"
"Dusky Thrush","Turdus eunomus","Dusky Thrush"
"Naumann's Thrush","Turdus naumanni","Naumann's Thrush"
"Dark-sided Flycatcher","Muscicapa sibirica","Dark-sided Flycatcher"
"Ferruginous Flycatcher","Muscicapa ferruginea","Ferruginous Flycatcher"
"Asian Brown Flycatcher","Muscicapa dauurica","Asian Brown Flycatcher"
"Brown-breasted Flycatcher","Muscicapa muttui","Brown-breasted Flycatcher"
"Spotted Flycatcher","Muscicapa striata","Spotted Flycatcher"
"Rufous-tailed Scrub-Robin","Cercotrichas galactotes","Rufous-tailed Scrub-Robin"
"Indian Robin","Copsychus fulicatus","Indian Robin"
"Oriental Magpie-Robin","Copsychus saularis","Oriental Magpie-Robin"
"White-rumped Shama","Copsychus malabaricus","White-rumped Shama"
"Andaman Shama","Copsychus albiventris","Andaman Shama"
"White-gorgeted Flycatcher","Anthipes monileger","White-gorgeted Flycatcher"
"Nilgiri Sholakili","Sholicola major","Nilgiri Sholakili"
"White-bellied Sholakili","Sholicola albiventris","White-bellied Sholakili"
"White-tailed Flycatcher","Leucoptilon concretum","White-tailed Flycatcher"
"White-bellied Blue Flycatcher","Cyornis pallidipes","White-bellied Blue Flycatcher"
"Pale-chinned Flycatcher","Cyornis poliogenys","Pale-chinned Flycatcher"
"Pale Blue Flycatcher","Cyornis unicolor","Pale Blue Flycatcher"
"Blue-throated Flycatcher","Cyornis rubeculoides","Blue-throated Flycatcher"
"Large Blue Flycatcher","Cyornis magnirostris","Large Blue Flycatcher"
"Hill Blue Flycatcher","Cyornis whitei","Hill Blue Flycatcher"
"Tickell's Blue Flycatcher","Cyornis tickelliae","Tickell's Blue Flycatcher"
"Nicobar Jungle Flycatcher","Cyornis nicobaricus","Nicobar Jungle Flycatcher"
"Large Niltava","Niltava grandis","Large Niltava"
"Small Niltava","Niltava macgrigoriae","Small Niltava"
"Rufous-bellied Niltava","Niltava sundara","Rufous-bellied Niltava"
"Chinese Vivid Niltava","Niltava oatesi","Chinese Vivid Niltava"
"Blue-and-white Flycatcher","Cyanoptila cyanomelana","Blue-and-white Flycatcher"
"Zappey's Flycatcher","Cyanoptila cumatilis","Zappey's Flycatcher"
"Nilgiri Flycatcher","Eumyias albicaudatus","Nilgiri Flycatcher"
"Verditer Flycatcher","Eumyias thalassinus","Verditer Flycatcher"
"Rusty-bellied Shortwing","Brachypteryx hyperythra","Rusty-bellied Shortwing"
"Gould's Shortwing","Heteroxenicus stellatus","Gould's Shortwing"
"Lesser Shortwing","Brachypteryx leucophris","Lesser Shortwing"
"Himalayan Shortwing","Brachypteryx cruralis","Himalayan Shortwing (White-browed Shortwing)"
"Indian Blue Robin","Larvivora brunnea","Indian Blue Robin"
"Siberian Blue Robin","Larvivora cyane","Siberian Blue Robin"
"White-bellied Redstart","Luscinia phaenicuroides","White-bellied Redstart"
"Bluethroat","Luscinia svecica","Bluethroat"
"Malabar Whistling-Thrush","Myophonus horsfieldii","Malabar Whistling-Thrush"
"Blue Whistling-Thrush","Myophonus caeruleus","Blue Whistling-Thrush"
"Little Forktail","Enicurus scouleri","Little Forktail"
"White-crowned Forktail","Enicurus leschenaulti","White-crowned Forktail"
"Spotted Forktail","Enicurus maculatus","Spotted Forktail"
"Black-backed Forktail","Enicurus immaculatus","Black-backed Forktail"
"Slaty-backed Forktail","Enicurus schistaceus","Slaty-backed Forktail"
"Firethroat","Calliope pectardens","Firethroat"
"Siberian Rubythroat","Calliope calliope","Siberian Rubythroat"
"Himalayan Rubythroat","Calliope pectoralis","Himalayan Rubythroat"
"Chinese Rubythroat","Calliope tschebaiewi","Chinese Rubythroat"
"White-tailed Robin","Myiomela leucura","White-tailed Robin"
"Blue-fronted Robin","Cinclidium frontale","Blue-fronted Robin"
"Red-flanked Bluetail","Tarsiger cyanurus","Red-flanked Bluetail (Red-flanked Bush-Robin)"
"Himalayan Bluetail","Tarsiger rufilatus","Himalayan Bluetail (Orange-flanked Bush-Robin)"
"Rufous-breasted Bush-Robin","Tarsiger hyperythrus","Rufous-breasted Bush-Robin"
"White-browed Bush-Robin","Tarsiger indicus","White-browed Bush-Robin"
"Golden Bush-Robin","Tarsiger chrysaeus","Golden Bush-Robin"
"Yellow-rumped Flycatcher","Ficedula zanthopygia","Korean Flycatcher (Yellow-rumped Flycatcher)"
"Mugimaki Flycatcher","Ficedula mugimaki","Mugimaki Flycatcher"
"Slaty-backed Flycatcher","Ficedula erithacus","Slaty-backed Flycatcher"
"Black-and-orange Flycatcher","Ficedula nigrorufa","Black-and-orange Flycatcher"
"Slaty-blue Flycatcher","Ficedula tricolor","Slaty-blue Flycatcher"
"Snowy-browed Flycatcher","Ficedula hyperythra","Snowy-browed Flycatcher"
"Pygmy Flycatcher","Ficedula hodgsoni","Pygmy Flycatcher"
"Rufous-gorgeted Flycatcher","Ficedula strophiata","Rufous-gorgeted Flycatcher"
"Sapphire Flycatcher","Ficedula sapphira","Sapphire Flycatcher"
"Little Pied Flycatcher","Ficedula westermanni","Little Pied Flycatcher"
"Ultramarine Flycatcher","Ficedula superciliaris","Ultramarine Flycatcher"
"Rusty-tailed Flycatcher","Ficedula ruficauda","Rusty-tailed Flycatcher"
"Taiga Flycatcher","Ficedula albicilla","Taiga Flycatcher (Red-throated Flycatcher)"
"Kashmir Flycatcher","Ficedula subrubra","Kashmir Flycatcher"
"Red-breasted Flycatcher","Ficedula parva","Red-breasted Flycatcher"
"Blue-fronted Redstart","Phoenicurus frontalis","Blue-fronted Redstart"
