"eBird.English.Name.2023","eBird.Scientific.Name.2023","eBird.India.Name.2023"
"Arabian/Asian Green Bee-eater","Merops cyanophrys/orientalis","Arabian/Asian Green Bee-eater"
"Blue-throated Bee-eater","Merops viridis","Blue-throated Bee-eater"
"Blue-cheeked Bee-eater","Merops persicus","Blue-cheeked Bee-eater"
"Blue-tailed Bee-eater","Merops philippinus","Blue-tailed Bee-eater"
"Blue-cheeked/Blue-tailed Bee-eater","Merops persicus/philippinus","Blue-cheeked/Blue-tailed Bee-eater"
"European Bee-eater","Merops apiaster","European Bee-eater"
"Chestnut-headed Bee-eater","Merops leschenaulti","Chestnut-headed Bee-eater"
"bee-eater sp.","Merops sp.","bee-eater sp."
"European Roller","Coracias garrulus","European Roller"
"Indian Roller","Coracias benghalensis","Indian Roller"
"European/Indian Roller","Coracias garrulus/benghalensis","European/Indian Roller"
"Indochinese Roller","Coracias affinis","Indochinese Roller (Black-billed Roller)"
"Indian x Indochinese Roller (hybrid)","Coracias benghalensis x affinis","Indian x Indochinese (Black-billed) Roller (hybrid)"
"Indian/Indochinese Roller","Coracias benghalensis/affinis","Indian/Indochinese Roller"
"Blue-bellied Roller","Coracias cyanogaster","Blue-bellied Roller"
"roller sp.","Coracias sp.","roller sp."
"Dollarbird","Eurystomus orientalis","Oriental Dollarbird"
"Malabar Barbet","Psilopogon malabaricus","Malabar Barbet (Crimson-throated Barbet)"
"Coppersmith Barbet","Psilopogon haemacephalus","Coppersmith Barbet"
"Malabar/Coppersmith Barbet","Psilopogon malabaricus/haemacephalus","Malabar/Coppersmith Barbet"
"Blue-eared Barbet","Psilopogon cyanotis","Blue-eared Barbet"
"Great Barbet","Psilopogon virens","Great Barbet"
"Lineated Barbet","Psilopogon lineatus","Lineated Barbet"
"Brown-headed Barbet","Psilopogon zeylanicus","Brown-headed Barbet (Large Green Barbet)"
"Lineated/Brown-headed Barbet","Psilopogon lineatus/zeylanicus","Lineated/Brown-headed Barbet"
"White-cheeked Barbet","Psilopogon viridis","White-cheeked Barbet (Small Green Barbet)"
"Brown-headed/White-cheeked Barbet","Psilopogon zeylanicus/viridis","Brown-headed/White-cheeked Barbet"
"Golden-throated Barbet","Psilopogon franklinii","Golden-throated Barbet"
"Blue-throated Barbet","Psilopogon asiaticus","Blue-throated Barbet"
"Psilopogon sp.","Psilopogon sp.","Psilopogon asian barbet sp."
"asian barbet sp.","Megalaimidae sp.","asian barbet sp."
"Yellow-rumped Honeyguide","Indicator xanthonotus","Yellow-rumped Honeyguide"
"Eurasian Wryneck","Jynx torquilla","Eurasian Wryneck"
"Speckled Piculet","Picumnus innominatus","Speckled Piculet"
"White-browed Piculet","Sasia ochracea","White-browed Piculet"
"Heart-spotted Woodpecker","Hemicircus canente","Heart-spotted Woodpecker"
"Brown-capped Pygmy Woodpecker","Yungipicus nanus","Brown-capped Pygmy Woodpecker (Indian Pygmy Woodpecker)"
"Gray-capped Pygmy Woodpecker","Yungipicus canicapillus","Grey-capped Pygmy Woodpecker"
"Brown-capped/Gray-capped Pygmy Woodpecker","Yungipicus nanus/canicapillus","Brown-capped/Grey-capped Pygmy Woodpecker"
"Yellow-crowned Woodpecker","Leiopicus mahrattensis","Yellow-crowned Woodpecker"
"Brown-fronted Woodpecker","Dendrocoptes auriceps","Brown-fronted Woodpecker"
"Rufous-bellied Woodpecker","Dendrocopos hyperythrus","Rufous-bellied Woodpecker"
"Fulvous-breasted Woodpecker","Dendrocopos macei","Fulvous-breasted Woodpecker"
"Freckle-breasted Woodpecker","Dendrocopos analis","Freckle-breasted Woodpecker (Spot-breasted Woodpecker)"
"Stripe-breasted Woodpecker","Dendrocopos atratus","Stripe-breasted Woodpecker"
"Darjeeling Woodpecker","Dendrocopos darjellensis","Darjeeling Woodpecker"
"Great Spotted Woodpecker","Dendrocopos major","Great Spotted Woodpecker"
"Himalayan Woodpecker","Dendrocopos himalayensis","Himalayan Woodpecker"
"Sind Woodpecker","Dendrocopos assimilis","Sind Woodpecker"
"Dendrocopos sp.","Dendrocopos sp.","Dendrocopus woodpecker sp."
"Crimson-naped Woodpecker","Dryobates cathpharius","Crimson-breasted Woodpecker (Crimson-naped Woodpecker)"
"Darjeeling/Crimson-naped Woodpecker","Dendrocopos darjellensis/Dryobates cathpharius","Darjeeling/Crimson-naped Woodpecker"
"Bay Woodpecker","Blythipicus pyrrhotis","Bay Woodpecker"
"Greater Flameback","Chrysocolaptes guttacristatus","Greater Flameback"
"Malabar Flameback","Chrysocolaptes socialis","Malabar Flameback"
"White-naped Woodpecker","Chrysocolaptes festivus","White-naped Woodpecker"
"Rufous Woodpecker","Micropternus brachyurus","Rufous Woodpecker"
"Pale-headed Woodpecker","Gecinulus grantia","Pale-headed Woodpecker"
"Himalayan Flameback","Dinopium shorii","Himalayan Flameback"
"Common Flameback","Dinopium javanense","Common Flameback (Goldenbacked Three-toed Woodpecker)"
"Greater/Common Flameback","Chrysocolaptes guttacristatus/Dinopium javanense","Greater/Common Flameback"
"Himalayan/Common Flameback","Dinopium shorii/javanense","Himalayan/Common Flameback"
"Black-rumped Flameback","Dinopium benghalense","Black-rumped Flameback (Lesser Goldenbacked Woodpecker)"
"Black-rumped/Red-backed Flameback","Dinopium benghalense/psarodes","Black-rumped/Red-backed Flameback"
"flameback sp.","Chrysocolaptes/Dinopium sp.","flameback sp."
"Lesser Yellownape","Picus chlorolophus","Lesser Yellownape"
"Streak-throated Woodpecker","Picus xanthopygaeus","Streak-throated Woodpecker"
"Scaly-bellied Woodpecker","Picus squamatus","Scaly-bellied Woodpecker"
"Gray-headed Woodpecker","Picus canus","Grey-headed Woodpecker"
"Picus sp.","Picus sp.","Picus woodpecker sp."
"Greater Yellownape","Chrysophlegma flavinucha","Greater Yellownape"
"Lesser/Greater Yellownape","Picus chlorolophus/Chrysophlegma flavinucha","Lesser/Greater Yellownape"
"Great Slaty Woodpecker","Mulleripicus pulverulentus","Great Slaty Woodpecker"
"White-bellied Woodpecker","Dryocopus javensis","White-bellied Woodpecker (Great Black Woodpecker)"
"Andaman Woodpecker","Dryocopus hodgei","Andaman Woodpecker"
"woodpecker sp.","Picidae sp.","woodpecker sp."
"Pied Falconet","Microhierax melanoleucos","Pied Falconet"
"Collared Falconet","Microhierax caerulescens","Collared Falconet"
"Lesser Kestrel","Falco naumanni","Lesser Kestrel"
"Eurasian Kestrel","Falco tinnunculus","Eurasian Kestrel (Common Kestrel)"
"Lesser/Eurasian Kestrel","Falco naumanni/tinnunculus","Lesser/Eurasian Kestrel"
"Red-necked Falcon","Falco chicquera","Red-necked Falcon"
"Amur Falcon","Falco amurensis","Amur Falcon"
"Merlin","Falco columbarius","Merlin"
"Eurasian Hobby","Falco subbuteo","Eurasian Hobby"
"Amur Falcon/Eurasian Hobby","Falco amurensis/subbuteo","Amur Falcon/Eurasian Hobby"
"Oriental Hobby","Falco severus","Oriental Hobby"
"Laggar Falcon","Falco jugger","Laggar Falcon"
"Saker Falcon","Falco cherrug","Saker Falcon"
"Peregrine Falcon","Falco peregrinus","Peregrine Falcon"
"large falcon sp.","Falco sp. (large falcon sp.)","large falcon sp."
"small falcon sp.","Falco sp. (small falcon sp.)","small falcon sp."
"falcon sp.","Falco sp.","falcon sp."
"diurnal raptor sp.","Accipitriformes/Falconiformes sp.","diurnal raptor sp."
"Cockatiel","Nymphicus hollandicus","Cockatiel"
"Alexandrine Parakeet","Psittacula eupatria","Alexandrine Parakeet"
"Rose-ringed Parakeet","Psittacula krameri","Rose-ringed Parakeet"
"Alexandrine/Rose-ringed Parakeet","Psittacula eupatria/krameri","Alexandrine/Rose-ringed Parakeet"
"Slaty-headed Parakeet","Psittacula himalayana","Slaty-headed Parakeet"
"Gray-headed Parakeet","Psittacula finschii","Grey-headed Parakeet"
"Plum-headed Parakeet","Psittacula cyanocephala","Plum-headed Parakeet"
"Blossom-headed Parakeet","Psittacula roseata","Blossom-headed Parakeet"
"Malabar Parakeet","Psittacula columboides","Malabar Parakeet (Blue-winged Parakeet)"
"Derbyan Parakeet","Psittacula derbiana","Derbyan Parakeet"
"Red-breasted Parakeet","Psittacula alexandri","Red-breasted Parakeet"
"Nicobar Parakeet","Psittacula caniceps","Nicobar Parakeet"
"Long-tailed Parakeet","Psittacula longicauda","Long-tailed Parakeet"
"Psittacula sp.","Psittacula sp.","Psittacula parakeet sp."
"Budgerigar","Melopsittacus undulatus","Budgerigar"
"Chattering Lory","Lorius garrulus","Chattering Lory"
"Coconut Lorikeet","Trichoglossus haematodus","Coconut Lorikeet"
"Rainbow Lorikeet","Trichoglossus moluccanus","Rainbow Lorikeet"
"Vernal Hanging-Parrot","Loriculus vernalis","Vernal Hanging-Parrot (Indian Lorikeet)"
"Rosy-faced Lovebird","Agapornis roseicollis","Rosy-faced Lovebird"
"Fischer's Lovebird","Agapornis fischeri","Fischer's Lovebird"
"lovebird sp.","Agapornis sp.","lovebird sp."
"Orange-winged Parrot","Amazona amazonica","Orange-winged Parrot"
"Jandaya Parakeet","Aratinga jandaya","Jandaya Parakeet"
"Blue-and-yellow Macaw","Ara ararauna","Blue-and-yellow Macaw"
"Red-and-green Macaw","Ara chloropterus","Red-and-green Macaw"
"parakeet sp.","Psittaciformes sp. (parakeet sp.)","parakeet sp."
"parrot sp.","Psittaciformes sp. (parrot sp.)","parrot sp."
"Long-tailed Broadbill","Psarisomus dalhousiae","Long-tailed Broadbill"
"Gray-lored Broadbill","Serilophus rubropygius","Silver-breasted Broadbill (Grey-lored Broadbill)"
"asian broadbill sp.","Eurylaimidae sp.","asian broadbill sp."
"Blue-naped Pitta","Hydrornis nipalensis","Blue-naped Pitta"
"Blue Pitta","Hydrornis cyaneus","Blue Pitta"
"Indian Pitta","Pitta brachyura","Indian Pitta"
"Blue-winged Pitta","Pitta moluccensis","Blue-winged Pitta"
"Nicobar Hooded Pitta","Pitta abbotti","Nicobar Hooded Pitta"
"Western Hooded Pitta","Pitta sordida","Western Hooded Pitta"
"Mangrove Pitta","Pitta megarhyncha","Mangrove Pitta"
"Pitta sp. (genus Pitta)","Pitta sp.","Pitta sp. (genus Pitta)"
"pitta sp. (genus Erythropitta/Hydrornis/Pitta)","Pittidae sp.","pitta sp. (genus Erythropitta/Hydrornis/Pitta)"
"Phylloscartes sp.","Phylloscartes sp.","Phylloscartes tyrannulet sp."
"White-bellied Minivet","Pericrocotus erythropygius","White-bellied Minivet"
"Small Minivet","Pericrocotus cinnamomeus","Small Minivet"
"Gray-chinned Minivet","Pericrocotus solaris","Grey-chinned Minivet"
"Short-billed Minivet","Pericrocotus brevirostris","Short-billed Minivet"
"Long-tailed Minivet","Pericrocotus ethologus","Long-tailed Minivet"
"Orange Minivet","Pericrocotus flammeus","Orange Minivet"
"Scarlet Minivet","Pericrocotus speciosus","Scarlet Minivet"
"Ashy Minivet","Pericrocotus divaricatus","Ashy Minivet"
"Brown-rumped Minivet","Pericrocotus cantonensis","Brown-rumped Minivet"
"Ashy/Brown-rumped Minivet","Pericrocotus divaricatus/cantonensis","Ashy/Brown-rumped Minivet"
"Rosy Minivet","Pericrocotus roseus","Rosy Minivet"
"minivet sp. (red minivet sp.)","Pericrocotus sp. (red minivet sp.)","minivet sp. (red minivet sp.)"
"minivet sp.","Pericrocotus sp.","minivet sp."
"Large Cuckooshrike","Coracina macei","Large Cuckooshrike"
"Andaman Cuckooshrike","Coracina dobsoni","Andaman Cuckooshrike"
"Coracina sp.","Coracina sp.","Coracina cuckooshrike sp."
"Pied Triller","Lalage nigra","Pied Triller"
"Black-winged Cuckooshrike","Lalage melaschistos","Black-winged Cuckooshrike"
"Black-headed Cuckooshrike","Lalage melanoptera","Black-headed Cuckooshrike"
"Large/Black-headed Cuckooshrike","Coracina macei/Lalage melanoptera","Large/Black-headed Cuckooshrike"
"cuckooshrike sp.","Campephagidae sp.","cuckooshrike sp."
"Black-headed Shrike-Babbler","Pteruthius rufiventer","Black-headed Shrike-Babbler"
"White-browed Shrike-Babbler","Pteruthius aeralatus","White-browed Shrike-Babbler"
"Green Shrike-Babbler","Pteruthius xanthochlorus","Green Shrike-Babbler"
"Black-eared Shrike-Babbler","Pteruthius melanotis","Black-eared Shrike-Babbler"
"Clicking Shrike-Babbler","Pteruthius intermedius","Clicking Shrike-Babbler"
"shrike-babbler sp.","Pteruthius sp.","shrike-babbler sp."
"White-bellied Erpornis","Erpornis zantholeuca","White-bellied Erpornis (White-bellied Yuhina)"
"Mangrove Whistler","Pachycephala cinerea","Mangrove Whistler"
"Eurasian Golden Oriole","Oriolus oriolus","Eurasian Golden Oriole"
"Indian Golden Oriole","Oriolus kundoo","Indian Golden Oriole"
"Eurasian/Indian Golden Oriole","Oriolus oriolus/kundoo","Eurasian/Indian Golden Oriole"
"Black-naped Oriole","Oriolus chinensis","Black-naped Oriole"
"Indian Golden/Black-naped Oriole","Oriolus kundoo/chinensis","Indian Golden/Black-naped Oriole"
"Slender-billed Oriole","Oriolus tenuirostris","Slender-billed Oriole"
"Black-hooded Oriole","Oriolus xanthornus","Black-hooded Oriole"
"Maroon Oriole","Oriolus traillii","Maroon Oriole"
"old world oriole sp.","Oriolus sp.","old world oriole sp."
"Ashy Woodswallow","Artamus fuscus","Ashy Woodswallow"
"White-breasted Woodswallow","Artamus leucorynchus","White-breasted Woodswallow"
"Malabar Woodshrike","Tephrodornis sylvicola","Malabar Woodshrike"
"Large Woodshrike","Tephrodornis virgatus","Large Woodshrike"
"Common Woodshrike","Tephrodornis pondicerianus","Common Woodshrike"
"Malabar/Common Woodshrike","Tephrodornis sylvicola/pondicerianus","Malabar/Common Woodshrike"
"Large/Common Woodshrike","Tephrodornis virgatus/pondicerianus","Large/Common Woodshrike"
"Bar-winged Flycatcher-shrike","Hemipus picatus","Bar-winged Flycatcher-shrike"
"Common Iora","Aegithina tiphia","Common Iora"
"White-tailed Iora","Aegithina nigrolutea","White-tailed Iora (Marshall's Iora)"
"Common/White-tailed Iora","Aegithina tiphia/nigrolutea","Common/White-tailed Iora"
"White-throated Fantail","Rhipidura albicollis","White-throated Fantail"
"Spot-breasted Fantail","Rhipidura albogularis","Spot-breasted Fantail (White-spotted Fantail)"
"White-throated/Spot-breasted Fantail","Rhipidura albicollis/albogularis","White-throated/Spot-breasted Fantail"
"White-browed Fantail","Rhipidura aureola","White-browed Fantail"
"White-throated/White-browed Fantail","Rhipidura albicollis/aureola","White-throated/White-browed Fantail"
"Spot-breasted/White-browed Fantail","Rhipidura albogularis/aureola","Spot-breasted/White-browed Fantail"
"fantail sp.","Rhipidura sp.","fantail sp."
"Black Drongo","Dicrurus macrocercus","Black Drongo"
"Ashy Drongo","Dicrurus leucophaeus","Ashy Drongo"
"Black/Ashy Drongo","Dicrurus macrocercus/leucophaeus","Black/Ashy Drongo"
"White-bellied Drongo","Dicrurus caerulescens","White-bellied Drongo"
"Crow-billed Drongo","Dicrurus annectens","Crow-billed Drongo"
"Bronzed Drongo","Dicrurus aeneus","Bronzed Drongo"
"Lesser Racket-tailed Drongo","Dicrurus remifer","Lesser Racket-tailed Drongo"
"Hair-crested Drongo","Dicrurus hottentottus","Hair-crested Drongo (Spangled Drongo)"
"Andaman Drongo","Dicrurus andamanensis","Andaman Drongo"
"Greater Racket-tailed Drongo","Dicrurus paradiseus","Greater Racket-tailed Drongo"
"Lesser/Greater Racket-tailed Drongo","Dicrurus remifer/paradiseus","Lesser/Greater Racket-tailed Drongo"
"drongo sp.","Dicrurus sp.","drongo sp."
"Black-naped Monarch","Hypothymis azurea","Black-naped Monarch"
"Amur Paradise-Flycatcher","Terpsiphone incei","Amur Paradise-Flycatcher"
"Blyth's Paradise-Flycatcher","Terpsiphone affinis","Blyth's Paradise-Flycatcher"
"Amur/Blyth's Paradise-Flycatcher","Terpsiphone incei/affinis","Amur/Blyth's Paradise-Flycatcher"
"Indian Paradise-Flycatcher","Terpsiphone paradisi","Indian Paradise-Flycatcher"
"Blyth's/Indian Paradise-Flycatcher","Terpsiphone affinis/paradisi","Blyth's/Indian Paradise-Flycatcher"
"Amur/Blyth's/Indian Paradise-Flycatcher","Terpsiphone incei/affinis/paradisi","Amur/Blyth's/Indian Paradise-Flycatcher"
"paradise-flycatcher sp.","Terpsiphone sp.","paradise-flycatcher sp."
"Red-backed Shrike","Lanius collurio","Red-backed Shrike"
"Red-tailed Shrike","Lanius phoenicuroides","Red-tailed Shrike"
"Red-backed x Red-tailed Shrike (hybrid)","Lanius collurio x phoenicuroides","Red-backed x Red-tailed Shrike (hybrid)"
"Isabelline Shrike","Lanius isabellinus","Isabelline Shrike"
"Red-tailed/Isabelline Shrike","Lanius phoenicuroides/isabellinus","Red-tailed/Isabelline Shrike"
"Brown Shrike","Lanius cristatus","Brown Shrike"
"Red-tailed/Isabelline/Brown Shrike","Lanius phoenicuroides/isabellinus/cristatus","Red-tailed/Isabelline/Brown Shrike"
"Burmese Shrike","Lanius collurioides","Burmese Shrike"
"Bay-backed Shrike","Lanius vittatus","Bay-backed Shrike"
"Long-tailed Shrike","Lanius schach","Long-tailed Shrike"
"Bay-backed/Long-tailed Shrike","Lanius vittatus/schach","Bay-backed/Long-tailed Shrike"
"Gray-backed Shrike","Lanius tephronotus","Grey-backed Shrike"
"Great Gray Shrike","Lanius excubitor","Great Grey Shrike"
"Northern/Great Gray Shrike","Lanius borealis/excubitor","Northern/Great Grey Shrike"
"Iberian Gray/Great Gray Shrike","Lanius meridionalis/excubitor","Iberian Grey/Great Grey Shrike"
"Lesser Gray Shrike","Lanius minor","Lesser Grey Shrike"
"Masked Shrike","Lanius nubicus","Masked Shrike"
"Woodchat Shrike","Lanius senator","Woodchat Shrike"
"shrike sp.","Lanius sp.","shrike sp."
"Eurasian Jay","Garrulus glandarius","Eurasian Jay"
"Black-headed Jay","Garrulus lanceolatus","Black-headed Jay"
"jay sp.","Corvidae sp. (jay sp.)","jay sp."
"Yellow-billed Blue-Magpie","Urocissa flavirostris","Yellow-billed Blue Magpie"
"Red-billed Blue-Magpie","Urocissa erythroryncha","Red-billed Blue-Magpie"
"Yellow-billed/Red-billed Blue-Magpie","Urocissa flavirostris/erythroryncha","Yellow-billed/Red-billed Blue-Magpie"
"Common Green-Magpie","Cissa chinensis","Common Green-Magpie"
"Rufous Treepie","Dendrocitta vagabunda","Rufous Treepie"
"Gray Treepie","Dendrocitta formosae","Grey Treepie"
"Rufous/Gray Treepie","Dendrocitta vagabunda/formosae","Rufous/Grey Treepie"
"White-bellied Treepie","Dendrocitta leucogastra","White-bellied Treepie"
"Collared Treepie","Dendrocitta frontalis","Collared Treepie"
"Andaman Treepie","Dendrocitta bayleii","Andaman Treepie"
"treepie sp.","Dendrocitta/Crypsirina/Temnurus sp.","treepie sp."
"Black-rumped Magpie","Pica bottanensis","Black-rumped Magpie"
"Eurasian Magpie","Pica pica","Eurasian Magpie"
"Eurasian Nutcracker","Nucifraga caryocatactes","Eurasian Nutcracker (Spotted Nutcracker)"
"Kashmir Nutcracker","Nucifraga multipunctata","Kashmir Nutcracker (Large-spotted Nutcracker)"
"Red-billed Chough","Pyrrhocorax pyrrhocorax","Red-billed Chough"
"Yellow-billed Chough","Pyrrhocorax graculus","Yellow-billed Chough (Alpine Chough)"
"Red-billed/Yellow-billed Chough","Pyrrhocorax pyrrhocorax/graculus","Red-billed/Yellow-billed Chough"
"Eurasian Jackdaw","Corvus monedula","Eurasian Jackdaw"
"House Crow","Corvus splendens","House Crow"
"Rook","Corvus frugilegus","Rook"
"Carrion Crow","Corvus corone","Carrion Crow"
"Hooded Crow","Corvus cornix","Hooded Crow"
"Large-billed Crow","Corvus macrorhynchos","Large-billed Crow"
"Pied Crow","Corvus albus","Pied Crow"
"crow sp.","Corvus sp. (crow sp.)","crow sp."
"Common Raven","Corvus corax","Common Raven (Northern Raven)"
"raven sp.","Corvus sp. (raven sp.)","raven sp."
"crow/raven sp.","Corvus sp.","crow/raven sp."
"corvid sp.","Corvidae sp.","corvid sp."
"Yellow-bellied Fairy-Fantail","Chelidorhynx hypoxanthus","Yellow-bellied Fantail"
"Gray-headed Canary-Flycatcher","Culicicapa ceylonensis","Grey-headed Canary-Flycatcher"
"Fire-capped Tit","Cephalopyrus flammiceps","Fire-capped Tit"
"Yellow-browed Tit","Sylviparus modestus","Yellow-browed Tit"
"Sultan Tit","Melanochlora sultanea","Sultan Tit"
"Coal Tit","Periparus ater","Coal Tit"
"Rufous-naped Tit","Periparus rufonuchalis","Rufous-naped Tit (Black-breasted Tit)"
"Rufous-vented Tit","Periparus rubidiventris","Rufous-vented Tit"
"Rufous-naped/Rufous-vented Tit","Periparus rufonuchalis/rubidiventris","Rufous-naped/Rufous-vented Tit"
"Gray-crested Tit","Lophophanes dichrous","Grey-crested Tit"
"Azure Tit","Cyanistes cyanus","Azure Tit"
"Ground Tit","Pseudopodoces humilis","Ground Tit (Groundpecker)"
"Green-backed Tit","Parus monticolus","Green-backed Tit"
"Cinereous Tit","Parus cinereus","Cinereous Tit (Great Tit)"
"Parus sp.","Parus sp.","Parus tit sp."
"White-naped Tit","Machlolophus nuchalis","White-naped Tit (Pied Tit)"
"Himalayan Black-lored Tit","Machlolophus xanthogenys","Himalayan Black-lored Tit"
"Indian Yellow Tit","Machlolophus aplonotus","Indian Yellow Tit"
"Yellow-cheeked Tit","Machlolophus spilonotus","Yellow-cheeked Tit"
"parid sp.","Paridae sp.","parid tit sp."
"White-crowned Penduline-Tit","Remiz coronatus","White-crowned Penduline-Tit"
"Greater Hoopoe-Lark","Alaemon alaudipes","Greater Hoopoe-Lark"
"Rufous-tailed Lark","Ammomanes phoenicura","Rufous-tailed Lark"
"Desert Lark","Ammomanes deserti","Desert Lark"
"Ammomanes sp.","Ammomanes sp.","Ammomanes lark sp."
"Black-crowned Sparrow-Lark","Eremopterix nigriceps","Black-crowned Sparrow-Lark"
"Ashy-crowned Sparrow-Lark","Eremopterix griseus","Ashy-crowned Sparrow-Lark (Ashy-crowned Finch-Lark)"
"Singing Bushlark","Mirafra javanica","Singing Bushlark"
"Bengal Bushlark","Mirafra assamica","Bengal Bushlark"
"Jerdon's Bushlark","Mirafra affinis","Jerdon's Bushlark"
"Indian Bushlark","Mirafra erythroptera","Indian Bushlark (Red-winged Bushlark)"
"Singing/Indian Bushlark","Mirafra javanica/erythroptera","Singing/Indian Bushlark"
"Jerdon's/Indian Bushlark","Mirafra affinis/erythroptera","Jerdon's/Indian Bushlark"
"Mirafra sp.","Mirafra sp.","Mirafra bushlark sp."
"Horned Lark","Eremophila alpestris","Horned Lark"
"Greater Short-toed Lark","Calandrella brachydactyla","Greater Short-toed Lark"
"Mongolian Short-toed Lark","Calandrella dukhunensis","Mongolian Short-toed Lark"
"Greater/Mongolian Short-toed Lark","Calandrella brachydactyla/dukhunensis","Greater/Mongolian (Sykes's) Short-toed Lark"
"Hume's Lark","Calandrella acutirostris","Hume's Lark (Hume's Short-toed Lark)"
"Greater Short-toed/Hume's Lark","Calandrella brachydactyla/acutirostris","Greater/Hume's Short-toed Lark"
"Mongolian Short-toed/Hume's Lark","Calandrella dukhunensis/acutirostris","Mongolian (Sykes's) Short-toed/Hume's Lark"
"Calandrella sp.","Calandrella sp.","Calandrella lark sp."
"Bimaculated Lark","Melanocorypha bimaculata","Bimaculated Lark"
"Bimaculated/Calandra Lark","Melanocorypha bimaculata/calandra","Bimaculated/Calandra Lark"
"Tibetan Lark","Melanocorypha maxima","Tibetan Lark"
"Turkestan Short-toed Lark","Alaudala heinei","Turkestan Short-toed Lark (Lesser Short-toed Lark)"
"Asian/Turkestan Short-toed Lark","Alaudala cheleensis/heinei","Asian/Turkestan Short-toed Lark"
"Sand Lark","Alaudala raytal","Sand Lark"
"Greater Short-toed Lark/Alaudala sp.","Calandrella brachydactyla/Alaudala sp.","Greater Short-toed Lark/Alaudala sp."
"Calandrella/Alaudala sp.","Calandrella/Alaudala sp.","Calandrella/Alaudala lark sp."
"Eurasian Skylark","Alauda arvensis","Eurasian Skylark"
"Oriental Skylark","Alauda gulgula","Oriental Skylark"
"Eurasian/Oriental Skylark","Alauda arvensis/gulgula","Eurasian/Oriental Skylark"
"Crested Lark","Galerida cristata","Crested Lark"
"Thekla's/Crested Lark","Galerida theklae/cristata","Thekla's/Crested Lark"
"Malabar Lark","Galerida malabarica","Malabar Lark"
"Crested/Malabar Lark","Galerida cristata/malabarica","Crested/Malabar Lark"
"Tawny Lark","Galerida deva","Tawny Lark (Sykes's Lark)"
"Galerida sp.","Galerida sp.","Galerida sp."
"lark sp.","Alaudidae sp.","lark sp."
"Common Tailorbird","Orthotomus sutorius","Common Tailorbird"
"Dark-necked Tailorbird","Orthotomus atrogularis","Dark-necked Tailorbird"
"Common/Dark-necked Tailorbird","Orthotomus sutorius/atrogularis","Common/Dark-necked Tailorbird"
"tailorbird sp.","Orthotomus sp.","tailorbird sp."
"Himalayan Prinia","Prinia crinigera","Himalayan Prinia (Striated Prinia)"
"Black-throated Prinia","Prinia atrogularis","Black-throated Prinia"
"Rufous-crowned Prinia","Prinia khasiana","Rufous-crowned Prinia"
"Hill Prinia","Prinia superciliaris","Hill Prinia"
"Gray-crowned Prinia","Prinia cinereocapilla","Grey-crowned Prinia"
"Rufous-fronted Prinia","Prinia buchanani","Rufous-fronted Prinia"
"Rufescent Prinia","Prinia rufescens","Rufescent Prinia"
"Gray-breasted Prinia","Prinia hodgsonii","Grey-breasted Prinia"
"Rufescent/Gray-breasted Prinia","Prinia rufescens/hodgsonii","Rufescent/Grey-breasted Prinia"
"Delicate Prinia","Prinia lepida","Delicate Prinia (Indian Graceful Prinia)"
"Graceful/Delicate Prinia","Prinia gracilis/lepida","Graceful/Delicate Prinia"
"Jungle Prinia","Prinia sylvatica","Jungle Prinia"
"Yellow-bellied Prinia","Prinia flaviventris","Yellow-bellied Prinia"
"Ashy Prinia","Prinia socialis","Ashy Prinia"
"Yellow-bellied/Ashy Prinia","Prinia flaviventris/socialis","Yellow-bellied/Ashy Prinia"
"Plain Prinia","Prinia inornata","Plain Prinia"
"prinia sp.","Prinia sp.","prinia sp."
"Zitting Cisticola","Cisticola juncidis","Zitting Cisticola"
"Golden-headed Cisticola","Cisticola exilis","Golden-headed Cisticola (Bright-headed Cisticola)"
"Zitting/Golden-headed Cisticola","Cisticola juncidis/exilis","Zitting/Golden-headed Cisticola"
"cisticola sp.","Cisticola sp.","cisticola sp."
"Thick-billed Warbler","Arundinax aedon","Thick-billed Warbler"
"Booted Warbler","Iduna caligata","Booted Warbler"
"Sykes's Warbler","Iduna rama","Sykes's Warbler"
"Booted/Sykes's Warbler","Iduna caligata/rama","Booted/Sykes's Warbler"
"Iduna sp.","Iduna sp.","Iduna warbler sp."
"Hippolais sp.","Hippolais sp.","Hippolais warbler sp."
"Black-browed Reed Warbler","Acrocephalus bistrigiceps","Black-browed Reed Warbler"
"Moustached Warbler","Acrocephalus melanopogon","Moustached Warbler"
"Sedge Warbler","Acrocephalus schoenobaenus","Sedge Warbler"
"Paddyfield Warbler","Acrocephalus agricola","Paddyfield Warbler"
"Blunt-winged Warbler","Acrocephalus concinens","Blunt-winged Warbler"
"Blyth's Reed Warbler","Acrocephalus dumetorum","Blyth's Reed Warbler"
"Paddyfield/Blyth's Reed Warbler","Acrocephalus agricola/dumetorum","Paddyfield/Blyth's Reed Warbler"
"Large-billed Reed Warbler","Acrocephalus orinus","Large-billed Reed Warbler"
"Paddyfield/Blunt-winged/Blyth's/Large-billed Reed Warbler","Acrocephalus agricola/concinens/dumetorum/orinus","Paddyfield/Blunt-winged/Blyth's/Large-billed Reed Warbler"
"Great Reed Warbler","Acrocephalus arundinaceus","Great Reed Warbler"
"Oriental Reed Warbler","Acrocephalus orientalis","Oriental Reed Warbler"
